Time (sec),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
8585.66796,DSS54,2675.3759173271,-9884.543776,7992.704013,8073.017962
8645.66796,DSS54,2675.3759173271,-10273.7758,7989.68888,8126.45399
8705.66796,DSS54,2675.3759173271,-10658.92711,7983.499129,8176.659459
8765.66796,DSS54,2675.3759173271,-11040.07094,7974.306774,8223.788213
8825.66796,DSS54,2675.3759173271,-11417.28082,7962.272004,8267.984275
8885.66796,DSS54,2675.3759173271,-11790.63019,7947.54415,8309.382614
8945.66796,DSS54,2675.3759173271,-12160.19205,7930.262579,8348.109824
9005.66796,DSS54,2675.3759173271,-12526.03872,7910.55749,8384.284765
9065.66796,DSS54,2675.3759173271,-12888.2416,7888.55065,8418.019138
9125.66796,DSS54,2675.3759173271,-13246.87102,7864.356056,8449.418012
9185.66796,DSS54,2675.3759173271,-13601.99612,7838.080537,8478.580313
9245.66796,DSS54,2675.3759173271,-13953.6847,7809.824305,8505.599266
9305.66796,DSS54,2675.3759173271,-14302.00322,7779.681459,8530.562802
9365.66796,DSS54,2675.3759173271,-14647.0167,7747.740437,8553.553931
9425.66796,DSS54,2675.3759173271,-14988.78867,7714.084442,8574.651087
9485.66796,DSS54,2675.3759173271,-15327.38119,7678.791812,8593.928444
9545.66796,DSS54,2675.3759173271,-15662.85482,7641.936383,8611.456201
9605.66796,DSS54,2675.3759173271,-15995.26863,7603.587797,8627.300853
9665.66796,DSS54,2675.3759173271,-16324.68018,7563.811802,8641.525435
9725.66796,DSS54,2675.3759173271,-16651.14556,7522.670522,8654.18975
9785.66796,DSS54,2675.3759173271,-16974.71941,7480.2227,8665.350577
9845.66796,DSS54,2675.3759173271,-17295.45494,7436.523929,8675.061862
9905.66796,DSS54,2675.3759173271,-17613.40393,7391.62686,8683.374901
9965.66796,DSS54,2675.3759173271,-17928.61682,7345.581397,8690.3385
10025.66796,DSS54,2675.3759173271,-18241.14268,7298.434872,8695.999134
10085.66796,DSS54,2675.3759173271,-18551.02927,7250.232212,8700.401081
10145.66796,DSS54,2675.3759173271,-18858.32306,7201.016091,8703.586562
10205.66796,DSS54,2675.3759173271,-19163.06929,7150.827069,8705.595855
10265.66796,DSS54,2675.3759173271,-19465.31199,7099.703724,8706.467413
10325.66796,DSS54,2675.3759173271,-19765.09399,7047.68277,8706.237971
10385.66796,DSS54,2675.3759173271,-20062.457,6994.799173,8704.942638
10445.66796,DSS54,2675.3759173271,-20357.44161,6941.086252,8702.614996
10505.66796,DSS54,2675.3759173271,-20650.08732,6886.575775,8699.287177
10565.66796,DSS54,2675.3759173271,-20940.4326,6831.298052,8694.989952
10625.66796,DSS54,2675.3759173271,-21228.51492,6775.282017,8689.752797
10685.66796,DSS54,2675.3759173271,-21514.37073,6718.555305,8683.603966
10745.66796,DSS54,2675.3759173271,-21798.03557,6661.144325,8676.570557
10805.66796,DSS54,2675.3759173271,-22079.54404,6603.07433,8668.67857
10865.66796,DSS54,2675.3759173271,-22358.92984,6544.369476,8659.952967
10925.66796,DSS54,2675.3759173271,-22636.22582,6485.052888,8650.417722
10985.66796,DSS54,2675.3759173271,-22911.46399,6425.146708,8640.095873
11045.66796,DSS54,2675.3759173271,-23184.67554,6364.67215,8629.009571
11105.66796,DSS54,2675.3759173271,-23455.89089,6303.649551,8617.180119
11165.66796,DSS54,2675.3759173271,-23725.1397,6242.098412,8604.628017
11225.66796,DSS54,2675.3759173271,-23992.45088,6180.037444,8591.373002
11285.66796,DSS54,2675.3759173271,-24257.85263,6117.484605,8577.434082
11345.66796,DSS54,2675.3759173271,-24521.37247,6054.457143,8562.82957
11405.66796,DSS54,2675.3759173271,-24783.03726,5990.971625,8547.57712
11465.66796,DSS54,2675.3759173271,-25042.87317,5927.043974,8531.693757
11525.66796,DSS54,2675.3759173271,-25300.9058,5862.6895,8515.195903
11585.66796,DSS54,2675.3759173271,-25557.16009,5797.922928,8498.099406
11645.66796,DSS54,2675.3759173271,-25811.66043,5732.758429,8480.419568
11705.66796,DSS54,2675.3759173271,-26064.43062,5667.209642,8462.171167
11765.66796,DSS54,2675.3759173271,-26203.98005,5630.669087,8451.803229
11798.96796,DSS54,2675.3759173271,-26454.11348,5564.504504,8432.679764
11858.96796,DSS54,2675.3759173271,-26702.5751,5497.988245,8413.023273
11918.96796,DSS54,2675.3759173271,-26949.38681,5431.132259,8392.846851
11978.96796,DSS54,2675.3759173271,-27194.57004,5363.948066,8372.163169
12038.96796,DSS54,2675.3759173271,-27438.1457,5296.446779,8350.984484
12098.96796,DSS54,2675.3759173271,-27680.13427,5228.639118,8329.322665
12158.96796,DSS54,2675.3759173271,-27920.55576,5160.535431,8307.189201
12218.96796,DSS54,2675.3759173271,-28159.42974,5092.145708,8284.595222
12278.96796,DSS54,2675.3759173271,-28396.77536,5023.479597,8261.551512
12338.96796,DSS54,2675.3759173271,-28632.61135,4954.546419,8238.068523
12398.96796,DSS54,2675.3759173271,-28866.95604,4885.35518,8214.156387
12458.96796,DSS54,2675.3759173271,-29099.82737,4815.914586,8189.82493
12518.96796,DSS54,2675.3759173271,-29331.24289,4746.233056,8165.083683
12578.96796,DSS54,2675.3759173271,-29561.21981,4676.318731,8139.941896
12638.96796,DSS54,2675.3759173271,-29789.77495,4606.179489,8114.408546
12698.96796,DSS54,2675.3759173271,-30016.92479,4535.822953,8088.492347
12758.96796,DSS54,2675.3759173271,-30242.68549,4465.2565,8062.201762
12818.96796,DSS54,2675.3759173271,-30467.07286,4394.487276,8035.545013
12878.96796,DSS54,2675.3759173271,-30690.1024,4323.5222,8008.530087
12938.96796,DSS54,2675.3759173271,-30911.7893,4252.367974,7981.164746
12998.96796,DSS54,2675.3759173271,-31132.14843,4181.031094,7953.456536
13058.96796,DSS54,2675.3759173271,-31351.19439,4109.517855,7925.412796
13118.96796,DSS54,2675.3759173271,-31568.94148,4037.83436,7897.04066
13178.96796,DSS54,2675.3759173271,-31785.40373,3965.986527,7868.347071
13238.96796,DSS54,2675.3759173271,-32000.59488,3893.980096,7839.338784
13298.96796,DSS54,2675.3759173271,-32214.52842,3821.820635,7810.022372
13358.96796,DSS54,2675.3759173271,-32427.2176,3749.513547,7780.404235
13418.96796,DSS54,2675.3759173271,-32638.67537,3677.064077,7750.490604
13478.96796,DSS54,2675.3759173271,-32848.91449,3604.477316,7720.287547
13538.96796,DSS54,2675.3759173271,-33057.94744,3531.758207,7689.800976
13598.96796,DSS54,2675.3759173271,-33265.7865,3458.911551,7659.036651
13658.96796,DSS54,2675.3759173271,-33472.44371,3385.942012,7628.000183
13718.96796,DSS54,2675.3759173271,-33677.93088,3312.854121,7596.697044
13778.96796,DSS54,2675.3759173271,-33882.25961,3239.652281,7565.132566
13838.96796,DSS54,2675.3759173271,-34085.44132,3166.340773,7533.311952
13898.96796,DSS54,2675.3759173271,-34287.48718,3092.923757,7501.240271
13958.96796,DSS54,2675.3759173271,-34488.40819,3019.405278,7468.922473
14018.96796,DSS54,2675.3759173271,-34688.21515,2945.789272,7436.363384
14078.96796,DSS54,2675.3759173271,-34886.91866,2872.079566,7403.567716
14138.96796,DSS54,2675.3759173271,-35084.52916,2798.279883,7370.540065
14198.96796,DSS54,2675.3759173271,-35281.05688,2724.393846,7337.28492
14258.96796,DSS54,2675.3759173271,-35476.51189,2650.424983,7303.806663
14318.96796,DSS54,2675.3759173271,-35670.90409,2576.376724,7270.109574
14378.96796,DSS54,2675.3759173271,-35864.2432,2502.252413,7236.197832
14438.96796,DSS54,2675.3759173271,-36056.53879,2428.055302,7202.07552
14498.96796,DSS54,2675.3759173271,-36247.80025,2353.788562,7167.746629
14558.96796,DSS54,2675.3759173271,-36438.03685,2279.455279,7133.215055
14618.96796,DSS54,2675.3759173271,-36627.25766,2205.05846,7098.48461
14678.96796,DSS54,2675.3759173271,-36815.47163,2130.601036,7063.559018
14738.96796,DSS54,2675.3759173271,-37002.68757,2056.085862,7028.441921
14798.96796,DSS54,2675.3759173271,-37188.91413,1981.515721,6993.136878
14858.96796,DSS54,2675.3759173271,-37374.15981,1906.893326,6957.647373
14918.96796,DSS54,2675.3759173271,-37558.43301,1832.221323,6921.976812
14978.96796,DSS54,2675.3759173271,-37741.74196,1757.502292,6886.128526
15038.96796,DSS54,2675.3759173271,-37924.09479,1682.738746,6850.105776
15098.96796,DSS54,2675.3759173271,-38105.49948,1607.933141,6813.911753
15158.96796,DSS54,2675.3759173271,-38285.9639,1533.087869,6777.549578
15218.96796,DSS54,2675.3759173271,-38465.49578,1458.205267,6741.022309
15278.96796,DSS54,2675.3759173271,-38644.10274,1383.287612,6704.332937
15338.96796,DSS54,2675.3759173271,-38821.7923,1308.337129,6667.484393
15398.967960000002,DSS54,2675.3759173271,-38998.57184,1233.355988,6630.479545
15458.967960000002,DSS54,2675.3759173271,-39174.44864,1158.346309,6593.321203
15518.967960000002,DSS54,2675.3759173271,-39349.42987,1083.31016,6556.01212
15578.967960000002,DSS54,2675.3759173271,-39523.52259,1008.249562,6518.554991
15638.967960000002,DSS54,2675.3759173271,-39696.73375,933.1664868,6480.952459
15698.967960000002,DSS54,2675.3759173271,-39869.07021,858.0628615,6443.207113
15758.967960000002,DSS54,2675.3759173271,-40040.53873,782.9405681,6405.321488
15818.967960000002,DSS54,2675.3759173271,-40211.14595,707.8014453,6367.298073
15878.967960000002,DSS54,2675.3759173271,-40380.89843,632.6472896,6329.139305
15938.967960000002,DSS54,2675.3759173271,-40549.80263,557.4798564,6290.847573
15998.967960000002,DSS54,2675.3759173271,-40717.86493,482.3008611,6252.425221
16058.967960000002,DSS54,2675.3759173271,-40885.0916,407.1119805,6213.874546
16118.967960000002,DSS54,2675.3759173271,-41051.48882,331.9148535,6175.197803
16178.967960000002,DSS54,2675.3759173271,-41217.06271,256.7110825,6136.397202
16238.967960000002,DSS54,2675.3759173271,-41381.81928,181.502234,6097.474912
16298.967960000002,DSS54,2675.3759173271,-41545.76445,106.2898399,6058.43306
16358.967960000002,DSS54,2675.3759173271,-41708.90407,31.07539815,6019.273733
16418.96796,DSS54,2675.3759173271,-41871.24393,-44.13962609,5979.99898
16478.96796,DSS54,2675.3759173271,-42032.78969,-119.3537997,5940.610812
16538.96796,DSS54,2675.3759173271,-42193.54698,-194.5657209,5901.111201
16598.96796,DSS54,2675.3759173271,-42353.52133,-269.7740179,5861.502086
16658.96796,DSS54,2675.3759173271,-42512.7182,-344.9773489,5821.785367
16718.96796,DSS54,2675.3759173271,-42671.14298,-420.1744007,5781.962912
16778.96796,DSS54,2675.3759173271,-42828.80097,-495.3638881,5742.036554
16838.96796,DSS54,2675.3759173271,-42985.69743,-570.5445534,5702.008094
16898.96796,DSS54,2675.3759173271,-43141.83753,-645.7151653,5661.879301
16958.96796,DSS54,2675.3759173271,-43297.22637,-720.8745187,5621.651911
17018.96796,DSS54,2675.3759173271,-43450.21127,-793.3102033,5582.56842
17078.567658,DSS54,2675.3759173271,-43602.88014,-867.1047786,5542.784949
17138.567658,DSS54,2675.3759173271,-43754.81258,-940.8846945,5502.907862
17198.567658,DSS54,2675.3759173271,-43906.01342,-1014.648863,5462.93876
17258.567658,DSS54,2675.3759173271,-44056.48739,-1088.39622,5422.879218
17318.567658,DSS54,2675.3759173271,-44206.23918,-1162.12572,5382.730782
17378.567658,DSS54,2675.3759173271,-44355.27341,-1235.836342,5342.494972
17438.567658,DSS54,2675.3759173271,-44503.59467,-1309.527084,5302.173283
17498.567658,DSS54,2675.3759173271,-44651.20745,-1383.196963,5261.767186
17558.567658,DSS54,2675.3759173271,-44798.11621,-1456.845018,5221.278125
17618.567658,DSS54,2675.3759173271,-44944.32534,-1530.470306,5180.707522
17678.567658,DSS54,2675.3759173271,-45089.83921,-1604.071903,5140.056775
17738.567658,DSS54,2675.3759173271,-45234.66208,-1677.648902,5099.327257
17798.567658,DSS54,2675.3759173271,-45378.79821,-1751.200416,5058.520322
17858.567658,DSS54,2675.3759173271,-45522.25177,-1824.725573,5017.6373
17918.567658,DSS54,2675.3759173271,-45665.02691,-1898.223521,4976.679499
17978.567658,DSS54,2675.3759173271,-45807.1277,-1971.693421,4935.648208
18038.567658,DSS54,2675.3759173271,-45948.55819,-2045.134453,4894.544692
18098.567658,DSS54,2675.3759173271,-46089.32236,-2118.545812,4853.3702
18158.567658,DSS54,2675.3759173271,-46229.42415,-2191.926709,4812.125958
18218.567658,DSS54,2675.3759173271,-46368.86746,-2265.276367,4770.813174
18278.567658,DSS54,2675.3759173271,-46507.65613,-2338.594028,4729.433036
18338.567658,DSS54,2675.3759173271,-46645.79396,-2411.878947,4687.986716
18398.567658,DSS54,2675.3759173271,-46783.28472,-2485.130391,4646.475364
18458.567658,DSS54,2675.3759173271,-46920.13211,-2558.347643,4604.900116
18518.567658,DSS54,2675.3759173271,-47056.33982,-2631.53,4563.262089
18578.567658,DSS54,2675.3759173271,-47191.91145,-2704.676769,4521.562381
18638.567658,DSS54,2675.3759173271,-47326.85061,-2777.787273,4479.802076
18698.567658,DSS54,2675.3759173271,-47461.16084,-2850.860847,4437.982242
18758.567658,DSS54,2675.3759173271,-47594.84565,-2923.896836,4396.103927
18818.567658,DSS54,2675.3759173271,-47727.90849,-2996.894599,4354.168168
18878.567658,DSS54,2675.3759173271,-47860.35281,-3069.853508,4312.175983
18938.567658,DSS54,2675.3759173271,-47992.18197,-3142.772943,4270.128376
18998.567658,DSS54,2675.3759173271,-48123.39934,-3215.652297,4228.026338
19058.567658,DSS54,2675.3759173271,-48254.00824,-3288.490976,4185.870843
19118.567658,DSS54,2675.3759173271,-48384.01192,-3361.288393,4143.662852
19178.567658,DSS54,2675.3759173271,-48513.41365,-3434.043974,4101.403311
19238.567658,DSS54,2675.3759173271,-48642.21661,-3506.757154,4059.093153
19298.567658,DSS54,2675.3759173271,-48770.42398,-3579.42738,4016.733297
19358.567658,DSS54,2675.3759173271,-48898.0389,-3652.054106,3974.324651
19418.567658,DSS54,2675.3759173271,-49025.06446,-3724.636797,3931.868107
19478.567658,DSS54,2675.3759173271,-49151.50374,-3797.174929,3889.364545
19538.567658,DSS54,2675.3759173271,-49277.35977,-3869.667985,3846.814835
19598.567658,DSS54,2675.3759173271,-49402.63554,-3942.115457,3804.219832
19658.567658,DSS54,2675.3759173271,-49527.33404,-4014.516847,3761.58038
19718.567658,DSS54,2675.3759173271,-49651.4582,-4086.871666,3718.897311
19778.567658,DSS54,2675.3759173271,-49775.01092,-4159.179432,3676.171446
19838.567658,DSS54,2675.3759173271,-49897.99509,-4231.439672,3633.403594
19898.567658,DSS54,2675.3759173271,-50020.41355,-4303.651921,3590.594553
19958.567658,DSS54,2675.3759173271,-50142.26911,-4375.815723,3547.745111
20018.567658,DSS54,2675.3759173271,-50263.56458,-4447.930628,3504.856045
20078.567658,DSS54,2675.3759173271,-50384.30269,-4519.996194,3461.928119
20138.567658,DSS54,2675.3759173271,-50504.4862,-4592.011988,3418.962091
20198.567658,DSS54,2675.3759173271,-50624.11779,-4663.977582,3375.958705
20258.567658,DSS54,2675.3759173271,-50743.20014,-4735.892558,3332.918697
20318.567658,DSS54,2675.3759173271,-50861.73591,-4807.756502,3289.842793
20378.567658,DSS54,2675.3759173271,-50979.7277,-4879.569009,3246.731709
20438.567658,DSS54,2675.3759173271,-51097.17813,-4951.32968,3203.586152
20498.567658,DSS54,2675.3759173271,-51214.08974,-5023.038123,3160.406819
20558.567658,DSS54,2675.3759173271,-51330.46509,-5094.693951,3117.194398
20618.567658,DSS54,2675.3759173271,-51446.30669,-5166.296785,3073.94957
20678.567658,DSS54,2675.3759173271,-51561.61704,-5237.846251,3030.673004
20738.567658,DSS54,2675.3759173271,-51676.3986,-5309.341983,2987.365363
20798.567658,DSS54,2675.3759173271,-51790.65382,-5380.783618,2944.0273
20858.567658,DSS54,2675.3759173271,-51904.3851,-5452.170802,2900.65946
20918.567658,DSS54,2675.3759173271,-52017.59486,-5523.503185,2857.262481
20978.567658,DSS54,2675.3759173271,-52130.28546,-5594.780422,2813.83699
21038.567658,DSS54,2675.3759173271,-52242.45924,-5666.002176,2770.38361
21098.567658,DSS54,2675.3759173271,-52354.11854,-5737.168111,2726.902952
21158.567658,DSS54,2675.3759173271,-52465.26566,-5808.277902,2683.395623
21218.567658,DSS54,2675.3759173271,-52575.90288,-5879.331224,2639.862221
21278.567658,DSS54,2675.3759173271,-52686.03245,-5950.327761,2596.303336
21338.567658,DSS54,2675.3759173271,-52795.65663,-6021.267199,2552.719552
21398.567658,DSS54,2675.3759173271,-52904.77762,-6092.149231,2509.111444
21458.567658,DSS54,2675.3759173271,-53013.39761,-6162.973553,2465.479583
21518.567658,DSS54,2675.3759173271,-53121.51879,-6233.739868,2421.824529
21578.567658,DSS54,2675.3759173271,-53229.14331,-6304.447882,2378.146839
21638.567658,DSS54,2675.3759173271,-53336.2733,-6375.097305,2334.447061
21698.567658,DSS54,2675.3759173271,-53442.91088,-6445.687853,2290.725738
21758.567658,DSS54,2675.3759173271,-53549.05813,-6516.219245,2246.983404
21818.567658,DSS54,2675.3759173271,-53654.71715,-6586.691206,2203.22059
21878.567658,DSS54,2675.3759173271,-53759.88997,-6657.103463,2159.437819
21938.567658,DSS54,2675.3759173271,-53864.57865,-6727.455748,2115.635607
21998.567658,DSS54,2675.3759173271,-53968.78519,-6797.747799,2071.814465
22058.567658,DSS54,2675.3759173271,-54072.5116,-6867.979354,2027.974898
22118.567658,DSS54,2675.3759173271,-54175.75986,-6938.150158,1984.117405
22178.567658,DSS54,2675.3759173271,-54278.53193,-7008.25996,1940.242479
22238.567658,DSS54,2675.3759173271,-54380.82976,-7078.308509,1896.350609
22298.567658,DSS54,2675.3759173271,-54482.65527,-7148.295563,1852.442275
